"","2.5%","25%","50%","75%","97.5%","species"
"betaSpp[1]",0.794522415305394,0.861317663881463,0.895211894636784,0.930647090239098,1.00791635638763,"BOGR"
"betaSpp[2]",0.772680967287633,0.83920476381467,0.873778683764414,0.907864136224456,0.973682776991413,"HECO"
"betaSpp[3]",0.773857096434001,0.822482429215464,0.848206799323737,0.873956600035884,0.92329984610894,"PASM"
"betaSpp[4]",0.61958005756066,0.693916478705758,0.73281798122904,0.771824092682948,0.84959487033269,"POSE"
"intG[1,1]",-0.407888782883636,-0.151862617030823,-0.0288343357775268,0.0929830434821617,0.344975354833461,"BOGR"
"intG[2,1]",-0.351936019239928,-0.0957046460233374,0.0307355288084689,0.157254056724523,0.417991665508832,"HECO"
"intG[3,1]",-0.259725748350652,-0.00332141877256501,0.119076383902189,0.241763332940361,0.505105349919798,"PASM"
"intG[4,1]",-0.325074866568054,-0.0684827185633616,0.0563164436948531,0.182975899527468,0.448777812578067,"POSE"
"intG[1,2]",-0.370924577571483,-0.102501585753973,0.0268898159600816,0.155396080142925,0.425027487050467,"BOGR"
"intG[2,2]",-0.375371565647248,-0.103184052227002,0.0334251808738452,0.170196000826555,0.445704782324855,"HECO"
"intG[3,2]",-0.527766047735656,-0.250135540448794,-0.122121269932392,0.00317443899125969,0.263639591700199,"PASM"
"intG[4,2]",-0.620890328853884,-0.328093502138101,-0.188236515463851,-0.0513525140030357,0.225258031828453,"POSE"
"intG[1,3]",-0.357302537026205,-0.096011413175176,0.0295630733718898,0.153965732619746,0.411671079223319,"BOGR"
"intG[2,3]",-0.376553899198577,-0.123225278763797,0.00130386370259823,0.127275323391675,0.380087424336605,"HECO"
"intG[3,3]",-0.363755598219142,-0.106849966458278,0.0143342015067094,0.135137169575426,0.38912907682066,"PASM"
"intG[4,3]",-0.300108765088164,-0.0413603013842027,0.0839039712126026,0.210401537402166,0.474036170781883,"POSE"
"intG[1,4]",-0.29706600096784,-0.0356031417377141,0.0897354460184343,0.217165233878433,0.479353737342067,"BOGR"
"intG[2,4]",-0.396699381126039,-0.138830474652654,-0.0106665467966699,0.117097306777217,0.377857125968615,"HECO"
"intG[3,4]",-0.637366655422716,-0.354627338304744,-0.224394884934835,-0.0973736769372108,0.159275145145312,"PASM"
"intG[4,4]",-0.61079786124124,-0.322140891603458,-0.183738770926856,-0.0465647158769867,0.226437010252327,"POSE"
"intG[1,5]",-0.410185990719548,-0.135889383550856,-0.00162219923481945,0.132734167406904,0.40947982345974,"BOGR"
"intG[2,5]",-0.422892292107615,-0.150494308433677,-0.0184199226109529,0.114684370914244,0.385139987542001,"HECO"
"intG[3,5]",-0.330725316675897,-0.0584646358582419,0.0707489275316663,0.201334562884359,0.473729119779196,"PASM"
"intG[4,5]",-0.24037209011384,0.0255660299353324,0.159973540447076,0.297175894403717,0.582871788989597,"POSE"
"intG[1,6]",-0.508214868172767,-0.241876588497937,-0.115201143795697,0.0102875052474579,0.267882126043804,"BOGR"
"intG[2,6]",-0.453360766408581,-0.168405819297113,-0.0278573486469762,0.112800542234794,0.396244754994722,"HECO"
"intG[3,6]",-0.291000587042087,-0.0286520104633213,0.095900642611273,0.222101154989811,0.486198573425213,"PASM"
"intG[4,6]",-0.328202799363694,-0.0621756930787709,0.0663154103132435,0.195376359017643,0.464940493721053,"POSE"
"intYr[1,1]",-1.22918806449863,-0.600310651751311,-0.275106295531865,0.0566978682535391,0.714207982348822,"BOGR"
"intYr[2,1]",-2.12217821718939,-1.3850074835651,-1.01279952142856,-0.643588996429812,0.0781652506137842,"HECO"
"intYr[3,1]",-1.62882639202706,-1.201873463677,-0.985853209019042,-0.77506263009051,-0.370003945295034,"PASM"
"intYr[4,1]",-2.80303792451702,-1.9898900747545,-1.62421666106016,-1.28762228301595,-0.562178642213728,"POSE"
"intYr[1,2]",-0.713091781785103,-0.0618134597323445,0.2673794579949,0.603141128584896,1.28215817267752,"BOGR"
"intYr[2,2]",-1.63028830584763,-0.922782202856023,-0.565086664520056,-0.196315875430479,0.545625437977256,"HECO"
"intYr[3,2]",-1.53850508893381,-1.13352142490899,-0.918874946178402,-0.705241717665424,-0.245342423131159,"PASM"
"intYr[4,2]",-2.29371149518367,-1.61963104098158,-1.28615500079285,-0.920623393021807,-0.12258768996743,"POSE"
"intYr[1,3]",-1.45991758481839,-0.716207129743998,-0.347985781244242,0.0248172994938156,0.786627065139697,"BOGR"
"intYr[2,3]",-1.79808511574031,-1.02835072857405,-0.64716657763124,-0.265031054908629,0.528370461460622,"HECO"
"intYr[3,3]",-1.65789704548726,-1.2149644815255,-0.992428376499665,-0.781298000351343,-0.384085094580079,"PASM"
"intYr[4,3]",-2.00033510342703,-1.34308138807856,-0.922977457166929,-0.407879158832314,0.706058833115845,"POSE"
"intYr[1,4]",-1.64540326631223,-0.805565487231647,-0.423586058218312,-0.050479442517379,0.701584725874976,"BOGR"
"intYr[2,4]",-2.03996569022432,-1.18315405530869,-0.783099227727748,-0.385696515289231,0.408402794900942,"HECO"
"intYr[3,4]",-1.6952165846752,-1.23553499498037,-1.00964877342606,-0.796216498177801,-0.394301273760167,"PASM"
"intYr[4,4]",-2.53161792690683,-1.81971177776346,-1.47853175662055,-1.14421145575556,-0.338890816336561,"POSE"
"intYr[1,5]",-3.35082447910065,-2.67481115183536,-2.31798417834108,-1.95700186604859,-1.27218616885498,"BOGR"
"intYr[2,5]",-3.42255444915207,-2.67603490675393,-2.29907734384373,-1.90501727142268,-0.98643650057969,"HECO"
"intYr[3,5]",-1.73247206284744,-1.2791969136198,-1.05103450523441,-0.834980926633966,-0.445601968028714,"PASM"
"intYr[4,5]",-2.26534087902339,-1.66370607879941,-1.34833735594303,-1.00673237708901,-0.13062084625673,"POSE"
"intYr[1,6]",-0.705583990906695,-0.0332642355472345,0.336457165059981,0.7245276564885,1.51492107038733,"BOGR"
"intYr[2,6]",-0.815962087807656,-0.0156197974485211,0.406734737634617,0.829088447592222,1.669488544071,"HECO"
"intYr[3,6]",-1.51338178660444,-1.10536154096026,-0.88758314585463,-0.670483454167416,-0.216733743493889,"PASM"
"intYr[4,6]",-1.91283976747835,-1.27220268667091,-0.888526206123417,-0.480003520911112,0.273578919060991,"POSE"
"intYr[1,7]",-1.28221140084694,-0.70815353717499,-0.416767201146899,-0.127604925811197,0.411849229647449,"BOGR"
"intYr[2,7]",-1.25121941601627,-0.591916805624979,-0.254976233843803,0.0749103239345247,0.681432586445317,"HECO"
"intYr[3,7]",-1.59306073406733,-1.18070640216281,-0.966005230149728,-0.75990212504692,-0.362534339830022,"PASM"
"intYr[4,7]",-2.56483527648735,-2.04782566169858,-1.78388904478427,-1.5183826224825,-1.04213075510865,"POSE"
