"","Mean","SD","Naive SE","Time-series SE","species"
"intYr[4,2]",-3.4476050310786,1.88758841265765,0.0487373232447811,0.282948115436857,"POSE"
"intYr[1,3]",-2.49453721774792,1.26115042172538,0.0325627638693656,0.0803405996414144,"BOGR"
"intYr[2,3]",-4.39425566604641,0.806729870785658,0.0208296756962728,0.246751569671503,"HECO"
"intYr[3,3]",-0.938701954136356,0.766352755117552,0.019787143052603,0.0909512178833378,"PASM"
"intYr[4,3]",-2.506862410084,1.91991702114539,0.0495720443266416,0.349359794364107,"POSE"
"intYr[1,4]",-2.61770318806588,1.27982545045565,0.0330449510377809,0.0456125173530558,"BOGR"
"intYr[2,4]",-4.57053318853998,0.843008176327881,0.0217663775175638,0.282934322228226,"HECO"
"intYr[3,4]",-0.974251896128673,0.797624185797615,0.0205945679208428,0.0762020613495122,"PASM"
"intYr[4,4]",-3.04604059277504,1.86908400224814,0.0482595414224649,0.270627818449263,"POSE"
"intYr[1,5]",-3.2597094626911,1.29835075640849,0.0335232723807059,0.110065997120849,"BOGR"
"intYr[2,5]",-5.0000581338681,0.825138226968542,0.0213049774091219,0.259926516659721,"HECO"
"intYr[3,5]",-1.03849937952376,0.787663007445536,0.0203373714017347,0.0744502454492825,"PASM"
"intYr[4,5]",-3.00975743060245,1.98474421301184,0.0512458752231761,0.3345085502433,"POSE"
"intYr[1,6]",-2.97809184433499,1.28708730188406,0.0332324512354133,0.0854703058111185,"BOGR"
"intYr[2,6]",-4.75560152551459,0.794401075785149,0.0205113475781676,0.290692019918115,"HECO"
"intYr[3,6]",-0.933488765902265,0.789141513958138,0.0203755462757385,0.0990948929618741,"PASM"
"intYr[4,6]",-1.58688536938414,1.84535423330266,0.047646841422897,0.353229819834062,"POSE"
"intYr[1,7]",-2.95310677646562,1.30633491163622,0.0337294223822427,0.080481641612531,"BOGR"
"intYr[2,7]",-4.47365480725583,0.78717054760273,0.020324656143269,0.270839471300081,"HECO"
"intYr[3,7]",-1.01014440460309,0.805463807530979,0.020796986083602,0.0920555571310454,"PASM"
"intYr[4,7]",-2.73751439634184,1.76594362627394,0.0455964683660008,0.284338039800161,"POSE"
"intYr[1,8]",-2.7423025736315,1.30789968232073,0.0337698245875877,0.0846966789891267,"BOGR"
"intYr[2,8]",-4.32674643839132,0.805851021893299,0.0208069839154465,0.314905373394269,"HECO"
"intYr[3,8]",-0.964828702371996,0.760252027652018,0.0196296229467779,0.0798318456306582,"PASM"
"intYr[4,8]",-3.16744055499469,1.87326452525779,0.0483674820624304,0.260062691618929,"POSE"
"intYr[1,9]",-2.78573565767604,1.30407652890543,0.0336711111908713,0.076001565336165,"BOGR"
"intYr[2,9]",-4.34255740763603,0.839290971928164,0.0216703997126668,0.292825468618837,"HECO"
"intYr[3,9]",-1.00912161575243,0.791064520461305,0.0204251980901479,0.0733035948553624,"PASM"
"intYr[4,9]",-3.00870815593796,1.79535154449655,0.0463557775494859,0.297136533552093,"POSE"
"intYr[1,10]",-2.5401308447222,1.30683882855681,0.033742433461185,0.0686769503976614,"BOGR"
"intYr[2,10]",-3.99250338267557,0.812759962616865,0.0209853719978619,0.267689448132424,"HECO"
"intYr[3,10]",-0.891900338016255,0.771691277770028,0.0199249831147789,0.0719075010490961,"PASM"
"intYr[4,10]",-3.19127630828746,1.76175935294064,0.0454884308930951,0.292265063698443,"POSE"
"intYr[1,11]",-2.75685051760039,1.30360163173665,0.0336588493986991,0.05762312601561,"BOGR"
"intYr[2,11]",-4.61942001456004,0.798460548547349,0.0206161627141835,0.252492810235375,"HECO"
"intYr[3,11]",-0.911027813908397,0.785393746226529,0.0202787793290053,0.103939817644451,"PASM"
"intYr[4,11]",-3.58833573862639,1.69992412479742,0.0438918521677107,0.244958208400684,"POSE"
"intYr[1,12]",-2.64835065510421,1.33019967613477,0.0343456079520031,0.0532396666970996,"BOGR"
"intYr[2,12]",-4.50385335354387,0.778002072529223,0.0200879271348036,0.212806975904855,"HECO"
"intYr[3,12]",-0.937171895845991,0.76384870915507,0.0197224888638641,0.0751173284211667,"PASM"
"intYr[4,12]",-3.63970859597236,1.73368934467138,0.0447636663960633,0.217905933711903,"POSE"
